name,lat,lng,likes,ratings,photos
Taco Bell,33.9261663,-118.2386886,3,5.6,4
Paco's Tacos Cantina,33.9595424,-118.3940825,85,8.2,133
El Tarasco Mexican Food,33.959107,-118.395757,42,7.2,53
Taco's El Oso,34.2540892,-118.4381925,3,5.8,2
La Michoacana Emerita Ice Cream Parlor,34.2465026,-118.4464518,0,,1
Baja Fresh,34.2752176,-118.5629733,15,7.5,9
Los Ruizeñores Restaurant,34.3188447,-118.4639045,1,,35
El Camaronero 2,34.31833,-118.4644733,2,,5
El CAMARONERO #2,34.31833,-118.4644733,2,,5
Tortilla Republic,34.08144,-118.3852985,181,8.7,325
Fiesta Cantina,34.0853339,-118.3839514,229,8.0,704
Gracias Madre,34.0810417,-118.3869706,708,9.2,567
Ramona's Mexican Food,33.8823971,-118.3259453,29,6.3,28
Taco Bell,33.8814458,-118.3261271,6,5.5,13
Tacos Carrillo- Taco Truck,34.13169269999999,-118.4386238,1,,0
El Compadre,34.0978005,-118.3522443,337,8.8,484
Chipotle Mexican Grill,34.0978332,-118.3569012,85,7.4,127
Raul's Casa Sombrero Mexican,33.9030334,-118.3530121,6,6.5,7
Taqueria Vista Hermosa,34.0173919,-118.2784632,2,,8
Chichen Itza,34.0173089,-118.2781364,172,8.9,245
Taco Bell,34.0266134,-118.2763015,22,6.9,19
El Pollo Loco,33.9595192,-118.3773989,22,6.4,5
El Sol Bakery,33.7791634,-118.1803085,0,,2
Tacos Y Mariscos La Fuente,33.7824554,-118.181352,1,,2
Mariscos Los Buchones,33.7755214,-118.1897457,1,,2
El Pollo Loco,33.7748161,-118.1896622,16,5.4,13
Taco Bell,33.7750679,-118.1903314,19,6.1,15
Chipotle Mexican Grill,34.0764548,-118.3239353,62,7.7,64
Tortas Ahogadas Las Originales,34.2232031,-118.4495318,0,,1
Paraíso Del Mar,34.2270213,-118.435182,0,,0
El Pollo Loco,34.2219194,-118.4477266,7,6.2,7
Taqueria Jerez,34.2266182,-118.4492269,5,6.7,5
Chile Verde,33.976222,-118.3738368,4,,7
Chipotle Mexican Grill,34.25942,-118.4665907,4,7.6,16
Tacos Michoacan,34.2643972,-118.4681142,2,,4
Casa Jalisco Restaurant,34.2532986,-118.4075018,0,,0
Hugo's Tacos,34.1188748,-118.2594917,102,8.5,100
El Pescador,33.9708336,-118.1954123,7,7.4,26
La Cabana,33.9708314,-118.1877577,0,,0
La Valentina Mexican Grill,33.9603033,-118.3077458,1,,1
Taco Bell,33.9597203,-118.3146182,6,5.8,3
The Salsa Bar,34.1367092,-118.3632013,26,7.4,30
Tortas Mexico Restaurant,34.1405152,-118.3714498,12,6.5,12
Chipotle Mexican Grill,33.9791415,-118.4383614,101,7.3,121
Sharky's Woodfired Mexican Grill,33.9844623,-118.4394002,8,7.7,5
El Pollo Loco,34.0508274,-118.2787383,7,5.6,20
Rodeo Mexican Grill,34.0502348,-118.2759272,26,8.1,45
El Grullense Restaurant,34.0470882,-118.2861337,8,8.3,4
Taco Bravo,34.0431825,-118.2743831,2,,4
Tacos Super Gallito,34.0358924,-118.3774912,19,7.7,27
Sabores De Oaxaca,34.0352081,-118.3773455,8,7.6,11
El Rio Bravo,34.0334481,-118.3730179,16,7.4,26
Mariscos Maria's Restaurant,34.0322313,-118.3662899,6,7.2,3
EK Valley,34.0314151,-118.3783005,5,7.0,11
El Compadre,34.0751774,-118.2531552,90,7.5,175
